date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:30:13	35629/35629	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:50%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_315.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_315.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:13	35629/35629	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_314.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_314.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:13	38290/38290	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_313.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_313.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:13	37883/37883	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_312.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_312.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:14	35629/35629	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_311.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_311.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:14	37570/37570	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_310.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_310.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:14	37892/37892	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_306.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_306.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:14	35629/35629	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_305.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_305.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:15	35629/35629	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_304.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_304.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:15	39249/39249	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:49%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_303.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_303.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
